date,symbole,interval,rv,bv,part_saut
2026-06-04,2330.TW,5m,0.0001214382699,0.0001090551638,0.102
2026-06-04,6758.T,5m,0.0001649960665,0.0001416722051,0.1414
2026-06-04,7203.T,5m,8.42081046e-05,7.002646801e-05,0.1684
2026-06-04,9984.T,5m,0.0008601727551,0.0008407831959,0.0225
2026-06-04,9988.HK,5m,0.0002153566219,0.0002034374741,0.0553
2026-06-04,AAPL,5m,7.637554188e-05,7.812974939e-05,0
2026-06-04,AIR.PA,5m,0.0003363050195,0.0003402644808,0
2026-06-04,AMZN,5m,0.0001737232312,0.0001877673759,0
2026-06-04,ASML.AS,5m,0.000614494264,0.0005702141656,0.0721
2026-06-04,AUDUSD=X,5m,1.312772768e-05,1.233998969e-05,0.06
2026-06-04,BNBUSDT,5m,0.002721496813,0.002572855773,0.0546
2026-06-04,BNP.PA,5m,0.0001301984372,0.0001086832638,0.1652
2026-06-04,BTCUSDT,5m,0.002415427415,0.002315812338,0.0412
2026-06-04,BZ=F,5m,0.0006109255032,0.0005355344956,0.1234
2026-06-04,CC=F,5m,0.0006043121678,0.0004551919509,0.2468
2026-06-04,CL=F,5m,0.0007511059764,0.0006362318965,0.1529
2026-06-04,COST,5m,0.000403219186,0.0003862401648,0.0421
2026-06-04,ETHUSDT,5m,0.003269328625,0.003003564343,0.0813
2026-06-04,EURUSD=X,5m,5.254315438e-06,4.49818557e-06,0.1439
2026-06-04,GBPUSD=X,5m,5.682210706e-06,5.890720645e-06,0
2026-06-04,GC=F,5m,0.0001367535295,0.0001362120522,0.004
2026-06-04,GOOGL,5m,0.0002395952663,0.0002181946902,0.0893
2026-06-04,HG=F,5m,0.0001640251469,0.0001586874525,0.0325
2026-06-04,JPM,5m,0.0001604885065,0.0001563762641,0.0256
2026-06-04,KC=F,5m,0.0002433179986,0.0002209117294,0.0921
2026-06-04,KO,5m,0.0001129742102,9.554986249e-05,0.1542
2026-06-04,MC.PA,5m,0.0003267405173,0.0002765861792,0.1535
2026-06-04,META,5m,0.0003096133709,0.000290661183,0.0612
2026-06-04,MSFT,5m,0.0002065188445,0.0001830560018,0.1136
2026-06-04,NG=F,5m,0.0008352514076,0.0007802271645,0.0659
2026-06-04,NVDA,5m,0.0003548242358,0.0002742598483,0.2271
2026-06-04,NZDUSD=X,5m,1.439977684e-05,1.212205785e-05,0.1582
2026-06-04,PG,5m,0.000123785776,0.0001046626583,0.1545
2026-06-04,SAN.PA,5m,0.0001375065878,0.0001265709149,0.0795
2026-06-04,SAP.DE,5m,0.0008217117179,0.0006961962502,0.1527
2026-06-04,SI=F,5m,0.0006226294693,0.000627462218,0
2026-06-04,SIE.DE,5m,0.0002020939552,0.0001607436846,0.2046
2026-06-04,SOLUSDT,5m,0.004911908141,0.004752436497,0.0325
2026-06-04,TSLA,5m,0.000316728264,0.0002874346166,0.0925
2026-06-04,TTE.PA,5m,0.0001033748965,0.0001006496442,0.0264
2026-06-04,UNH,5m,0.0002457394273,0.0002844599908,0
2026-06-04,USDCAD=X,5m,8.367849995e-06,8.553246641e-06,0
2026-06-04,USDCHF=X,5m,1.403584739e-05,1.371365835e-05,0.023
2026-06-04,USDJPY=X,5m,3.057463708e-06,2.513318913e-06,0.178
2026-06-04,V,5m,0.0001175523787,0.0001327931371,0
2026-06-04,XOM,5m,0.0001117073273,0.0001075063894,0.0376
2026-06-04,XRPUSDT,5m,0.003315761932,0.003279086467,0.0111
2026-06-04,ZW=F,5m,0.0002325371447,0.0002247599311,0.0334
2026-06-04,^FCHI,5m,3.876035479e-05,3.465356536e-05,0.106
2026-06-04,^GDAXI,5m,3.809922214e-05,3.757869139e-05,0.0137
2026-06-04,^GSPC,5m,1.225574148e-05,1.012735702e-05,0.1737
2026-06-04,^HSI,5m,3.473626601e-05,3.872589819e-05,0
2026-06-04,^KS11,5m,0.0005496748773,0.0005436864661,0.0109
2026-06-04,^N225,5m,9.565494862e-05,8.163259681e-05,0.1466
2026-06-04,^NDX,5m,6.181227342e-05,4.244284112e-05,0.3134
2026-06-04,^STOXX50E,5m,3.953640922e-05,4.070653036e-05,0
2026-06-05,005930.KS,5m,0.001390135235,0.001557210047,0
2026-06-05,0700.HK,5m,0.0004715050307,0.000356373611,0.2442
2026-06-05,2330.TW,5m,0.0001953006429,0.0001393457132,0.2865
2026-06-05,6758.T,5m,0.0001117202513,0.0001332163154,0
2026-06-05,7203.T,5m,9.801008173e-05,6.705701671e-05,0.3158
2026-06-05,9984.T,5m,0.00143761436,0.001281818105,0.1084
2026-06-05,9988.HK,5m,0.0002631024172,0.0002145144572,0.1847
2026-06-05,AAPL,5m,0.0002331512691,0.0002240481294,0.039
2026-06-05,AIR.PA,5m,0.0002538115755,0.0002405840217,0.0521
2026-06-05,AMZN,5m,0.0004218301731,0.0003735225007,0.1145
2026-06-05,ASML.AS,5m,0.0006917440583,0.0006578579499,0.049
2026-06-05,AUDUSD=X,5m,2.759475007e-05,2.158591629e-05,0.2178
2026-06-05,BNBUSDT,5m,0.00332896603,0.002952307047,0.1131
2026-06-05,BNP.PA,5m,0.0001164734869,0.0001073939583,0.078
2026-06-05,BTCUSDT,5m,0.002767642362,0.002458874147,0.1116
2026-06-05,BZ=F,5m,0.0005828183304,0.0005727014475,0.0174
2026-06-05,CC=F,5m,0.001261714488,0.000904090187,0.2834
2026-06-05,CL=F,5m,0.0006780310373,0.000643777498,0.0505
2026-06-05,COST,5m,0.0002334574118,0.0002389620768,0
2026-06-05,ETHUSDT,5m,0.004370231779,0.004329924672,0.0092
2026-06-05,EURUSD=X,5m,1.297035981e-05,1.231877363e-05,0.0502
2026-06-05,GBPUSD=X,5m,1.388351176e-05,1.201075724e-05,0.1349
2026-06-05,GC=F,5m,0.0002202549005,0.0002031522247,0.0776
2026-06-05,GOOGL,5m,0.0003545473062,0.0003499112712,0.0131
2026-06-05,HG=F,5m,0.0002311415327,0.0001939166642,0.161
2026-06-05,JPM,5m,0.0001355783362,9.958992461e-05,0.2654
2026-06-05,KC=F,5m,0.0002626608407,0.0002055513086,0.2174
2026-06-05,KO,5m,0.0002358304937,0.000241023478,0
2026-06-05,MC.PA,5m,0.0001667173715,0.000180438583,0
2026-06-05,META,5m,0.001250870066,0.0008455955772,0.324
2026-06-05,MSFT,5m,0.0001938579818,0.0002035333575,0
2026-06-05,NG=F,5m,0.0005294749946,0.0005274013864,0.0039
2026-06-05,NVDA,5m,0.0004584192497,0.0004427338118,0.0342
